hostTime;deviceTime;rA;cA;rB;cB;tpb_x;tpb_y
9297.044622;16.295509;1400;1400;1400;1400;2;2
9260.362886;4.193500;1400;1400;1400;1400;4;4
13618.575447;24.599776;1600;1600;1600;1600;2;2
13664.807255;7.074649;1600;1600;1600;1600;6;6
13570.750077;8.543587;1600;1600;1600;1600;4;4
19404.182244;39.432673;1800;1800;1800;1800;2;2
19461.474794;10.053601;1800;1800;1800;1800;4;4
19435.060989;7.455680;1800;1800;1800;1800;6;6
26545.497718;51.050270;2000;2000;2000;2000;2;2
26550.845375;12.905255;2000;2000;2000;2000;4;4
26359.346574;10.537540;2000;2000;2000;2000;6;6
35648.004247;70.460248;2200;2200;2200;2200;2;2
35520.020145;13.548460;2200;2200;2200;2200;6;6
35578.272909;18.840406;2200;2200;2200;2200;4;4
45867.729331;23.412885;2400;2400;2400;2400;6;6
45877.500041;128.068735;2400;2400;2400;2400;2;2
45882.918664;33.599752;2400;2400;2400;2400;4;4
58532.845411;176.985025;2600;2600;2600;2600;2;2
60084.722627;24.724501;2600;2600;2600;2600;6;6
60449.001057;44.245093;2600;2600;2600;2600;4;4
76430.920996;33.410004;2800;2800;2800;2800;6;6
76349.682738;222.641074;2800;2800;2800;2800;2;2
76532.208175;57.981566;2800;2800;2800;2800;4;4
97119.230526;40.643882;3000;3000;3000;3000;6;6
97910.931041;274.954584;3000;3000;3000;3000;2;2
97968.062318;72.845034;3000;3000;3000;3000;4;4
147718.907277;57.573010;3200;3200;3200;3200;6;6
151186.149404;90.742147;3200;3200;3200;3200;4;4
156441.866609;334.590811;3200;3200;3200;3200;2;2
25.897802;0.036633;200;200;200;200;12;12
26.019702;0.054748;200;200;200;200;8;8
25.877545;0.037088;200;200;200;200;10;10
207.230409;0.103927;400;400;400;400;10;10
207.374379;0.096086;400;400;400;400;12;12
207.126403;0.155890;400;400;400;400;8;8
717.092720;0.244560;600;600;600;600;10;10
715.572968;0.367016;600;600;600;600;8;8
722.128243;0.238204;600;600;600;600;12;12
1706.371542;0.642642;800;800;800;800;10;10
1738.090049;1.051026;800;800;800;800;8;8
1740.437137;0.543696;800;800;800;800;12;12
3370.815751;0.980437;1000;1000;1000;1000;10;10
3382.983117;1.292386;1000;1000;1000;1000;8;8
3388.241046;0.873693;1000;1000;1000;1000;12;12
5727.894796;1.635778;1200;1200;1200;1200;10;10
5801.914021;2.462174;1200;1200;1200;1200;8;8
5811.284198;1.424350;1200;1200;1200;1200;12;12
9169.124784;2.261124;1400;1400;1400;1400;12;12
9232.961352;2.567490;1400;1400;1400;1400;10;10
9156.590014;3.570941;1400;1400;1400;1400;8;8
13660.187261;3.993993;1600;1600;1600;1600;12;12
13579.469310;4.789846;1600;1600;1600;1600;10;10
13564.355177;7.924307;1600;1600;1600;1600;8;8
19571.467793;4.735304;1800;1800;1800;1800;12;12
